ADDRESS,DYCOL01,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08
"100062088","01","0022000000"," "," "," "," "," "
"100062090","01"," "," "," "," "," ","0002500000"
"100063066","01"," "," ","0018000000"," "," "," "
"100063067","01","0023760000"," "," "," "," "," "
"100063075","01"," "," "," ","0005600000"," ","0000700000"
"100063078","01","0065000000"," "," "," "," "," "
"100063079","01","0021330000"," "," "," "," "," "
"100064069","01"," "," "," ","0005400000"," "," "
"100064071","02"," "," "," "," ","0002850000"," "
"100064071","03"," "," "," "," ","0002850000"," "
"100064073","01","0030860000"," "," "," "," "," "
"100064076","01"," ","0009600000"," "," "," "," "
"100064077","01","0025750000"," "," "," "," "," "
"100064079","01","0031350000"," "," "," "," "," "
"100064082","01","0047100000"," "," "," "," "," "
"100064082","03","0002350000"," "," "," "," "," "
"100064083","02","0024000000"," "," "," "," "," "
"100064085","01"," ","0021600000"," "," "," "," "
"100073090","01","0018000000"," "," "," "," "," "
"100074086","01"," ","0003000000"," "," "," "," "
"100074086","05"," ","0004000000"," "," "," "," "
"100074087","01"," "," "," "," "," ","0007000000"
"100091091","01"," "," ","0004500000"," "," "," "
"100091093","01","0017700000"," "," "," "," "," "
"100091095","01","0014940000","0005400000"," ","0002440000"," "," "
"100092092","01"," "," "," ","0005100000"," "," "
"100093092","01","0000650000"," "," ","0002600000"," ","0000500000"
"100093095","01","0014700000","0002400000"," "," "," "," "
"100094091","01","0021500000"," "," "," "," "," "
"100094092","01"," ","0030000000"," "," "," "," "
"100094093","01"," "," "," "," "," ","0000800000"
"100094094","01","0024600000"," "," "," "," "," "
"101011003","01","0022150000"," "," "," "," "," "
"101012003","01"," ","0008400000"," "," "," "," "
"101012005","01","0019550000"," "," "," "," "," "
"101021009","02"," "," "," "," ","0000200000"," "
"101021010","01","0017100000"," "," "," "," "," "
"101022006","01","0026950000"," "," "," "," "," "
"101022009","01"," ","0006650000"," "," "," "," "
"101024002","01"," "," "," ","0025750000"," "," "
"101024003","01","0"," "," "," "," ","0006300000"
"101024004","01"," ","0005400000"," "," "," "," "
"101024005","01"," ","0003000000"," "," "," "," "
"101031012","01","0015400000"," "," "," "," "," "
"101031013","01"," "," "," "," "," ","0012000000"
"101031014","01","0008200000","0007800000"," "," "," "," "
"101031018","01","0010800000"," "," "," "," "," "
"101031020","01","0022950000"," "," "," "," "," "
"101032011","01"," ","0001360000"," "," "," "," "
"101032012","01"," "," "," ","0001600000"," "," "
"101032012","02"," "," "," ","0001600000"," "," "
"101032013","01"," "," "," "," "," ","0049000000"
"101032017","01","0026400000","0001200000"," "," "," "," "
"101032019","01","0026950000","0010500000"," "," "," "," "
"101033006","01"," ","0003600000"," "," "," "," "
"101033008","01"," ","0011400000"," "," "," "," "
"101033010","01","0047320000"," "," "," "," "," "
"101033013","01","0037750000","0004050000"," "," "," "," "
"101033014","01","0030000000"," "," "," "," "," "
"101033015","03","0019200000"," "," "," "," "," "
"101034007","01","0025750000"," "," "," "," "," "
"101034008","01","0013500000"," "," "," "," "," "
"101034012","01","0"," "," ","0002600000"," "," "
"101034014","01"," ","0006600000"," "," "," "," "
"101041023","01"," ","0007800000"," "," "," "," "
"101041024","06"," "," "," ","0002300000"," "," "
"101043017","01"," ","0006960000"," "," "," "," "
"101044016","02"," "," "," "," "," ","0002400000"
"101044018","02"," "," "," "," "," ","0010000000"
"101051026","01","0023650000"," "," "," "," "," "
"101051026","02"," "," ","0002400000"," "," "," "
"101051029","01","0019500000"," "," "," "," "," "
"101051032","01"," ","0016080000"," "," "," "," "
"101051033","01"," ","0004140000"," "," "," "," "
"101051034","01","0016630000"," "," "," "," "," "
"101051034","02"," "," "," "," "," ","0012000000"
"101051036","01","0023650000"," "," "," "," "," "
"101051037","01","0043500000"," "," "," "," "," "
"101051037","02","0025500000"," "," "," "," "," "
"101051038","01"," "," "," "," "," ","0003000000"
"101051040","01","0036800000"," "," "," "," "," "
"101051041","01"," "," "," "," "," ","0009600000"
"101051043","01","0010820000"," "," "," "," "," "
"101051047","01"," "," "," "," ","0001200000"," "
"101051048","01","0017038000"," "," "," "," "," "
"101051049","01"," "," "," "," "," ","0020000000"
"101051049","02"," "," "," "," "," ","0015000000"
