ADDRESS,DYCOL01,DYCOL03,DYCOL04,DYCOL05,DYCOL06,DYCOL07,DYCOL08
"000013025","01","0021000000"," "," "," "," "," "
"000013028","01"," "," "," "," "," ","0006000000"
"000013031","01"," "," "," ","0002600000"," ","0002400000"
"000013032","01"," "," "," "," "," ","0026400000"
"000013033","01"," "," "," ","0002700000"," ","0000300000"
"000013035","01"," "," "," ","0002800000"," ","0000250000"
"000013036","01","0016250000","0001500000"," "," "," "," "
"000013037","01"," "," ","0021600000"," "," "," "
"000013038","01"," "," "," ","0003500000"," ","0001500000"
"000013039","01"," ","0001000000"," "," "," ","0001400000"
"000013042","01","0019500000"," "," "," "," "," "
"000013047","01","0018000000"," "," "," "," "," "
"000013048","01","0021315000"," "," "," "," "," "
"000013053","01","0018240000"," "," "," "," "," "
"000013058","01"," "," "," "," ","0001800000"," "
"000013060","01"," "," "," ","0002400000"," "," "
"000013062","01"," "," "," ","0002500000"," ","0000500000"
"000013062","03"," "," "," ","0002800000"," "," "
"000013065","01"," "," "," "," ","0000600000"," "
"000013068","01"," "," "," "," "," ","0000850000"
"000013069","01"," "," "," ","0002400000"," ","0002000000"
"000013070","01"," "," "," ","0004800000"," "," "
"000014003","03"," "," "," ","0001700000"," "," "
"000014004","01"," "," "," "," "," ","0003600000"
"000014005","01"," "," "," ","0002600000","0000500000","0001500000"
"000014018","01"," "," "," ","0002650000"," "," "
"000014020","01"," "," ","0009000000"," "," "," "
"000014021","01"," "," "," "," "," ","0006000000"
"000014022","02"," ","0010200000"," "," "," "," "
"000014023","01"," "," ","0016500000"," "," "," "
"000014025","01"," "," "," ","0002650000"," ","0003000000"
"000014027","01"," "," "," "," "," ","0006000000"
"000014030","01"," "," "," "," "," ","0009600000"
"000014034","01","0019200000"," "," "," "," "," "
"000014035","01"," "," "," "," "," ","0002040000"
"000014037","01"," "," "," "," "," ","0001500000"
"000014039","01"," ","0005000000"," "," "," "," "
"000014041","01","0025150000"," "," "," "," "," "
"000014042","01","0023910000","0017400000"," "," "," "," "
"000014043","01"," "," "," "," "," ","0003000000"
"000014044","01","0017000000"," "," "," "," ","0005000000"
"000014047","01"," ","0030000000"," "," "," "," "
"000014048","01","0004000000"," "," "," "," ","0000800000"
"000014050","01"," "," "," "," "," ","0001000000"
"000014051","01"," "," "," ","0002200000"," ","0001500000"
"000014052","01"," "," "," "," "," ","0001800000"
"000014054","01"," "," "," ","0002400000"," "," "
"000014061","01"," "," "," ","0004000000"," "," "
"000014062","01"," "," "," "," "," ","0000470000"
"000014063","01"," "," "," ","0002750000"," ","0000450000"
"000014064","01"," "," "," ","0003200000"," ","0001200000"
"000021072","01"," "," "," "," "," ","0005000000"
"000021073","01"," "," "," ","0018900000"," "," "
"000021075","01"," "," "," ","0003250000"," "," "
"000022073","01"," "," "," ","0002150000"," ","0000400000"
"000022074","01","0021000000"," "," "," "," "," "
"000022075","01","0013500000"," "," "," "," "," "
"000024067","01"," "," "," ","0003800000"," ","0002000000"
"000024068","01"," ","0003500000"," ","0002400000"," ","0000600000"
"000024071","01"," "," "," "," "," ","0011000000"
"000024073","01"," ","0010000000"," "," "," "," "
"000024074","01"," "," "," ","0002400000"," ","0003000000"
"000031076","01"," ","0003000000"," "," "," ","0000350000"
"000031077","01"," "," "," ","0000268000"," ","0000300000"
"000031079","01"," "," "," ","0003300000"," ","0001200000"
"000031082","01"," ","0002000000"," ","0018000000"," "," "
"000031084","01"," ","0003500000"," "," "," ","0001500000"
"000031085","01"," ","0002000000"," "," "," ","0001000000"
"000031086","01"," ","0070000000"," "," "," "," "
"000031087","01"," "," "," ","0003500000"," "," "
"000031088","01"," "," "," ","0002500000","0000250000","0002000000"
"000031090","01"," "," "," "," "," ","0010000000"
"000032076","01"," "," "," ","0002600000"," ","0000500000"
"000032083","01"," "," "," "," "," ","0002400000"
"000032084","01"," "," "," ","0003800000"," ","0001500000"
"000032085","01"," "," "," ","0003500000"," ","0000800000"
"000032087","01","0014400000"," "," "," "," "," "
"000032089","01","0014400000"," "," "," "," "," "
"000032090","01"," ","0004000000"," ","0004620000"," "," "
"000033076","01"," "," "," ","0002650000"," "," "
"000033076","02"," "," "," "," "," ","0001000000"
"000033077","01"," ","0006000000"," "," ","0000560000"," "
"000033079","01"," "," "," ","0002600000"," ","0001300000"
"000033082","01"," "," "," "," "," ","0004000000"
"000033083","01"," "," "," ","0002450000"," ","0000300000"
"000033089","01"," ","0002500000"," "," "," ","0001500000"
"000033090","01","0019080000"," "," "," "," "," "
"000034079","05"," ","0003000000"," "," "," "," "
"000034080","01"," "," "," ","0003400000"," ","0003600000"
"000034083","01"," "," "," "," ","0002200000"," "
"000041091","01"," ","0002000000"," "," "," ","0010000000"
"000041095","01"," ","0006000000"," ","0003650000"," "," "
"000041096","01","0016400000","0003500000"," "," "," "," "
"000041098","01"," "," "," "," ","0000450000","0001700000"
"000041107","02"," "," "," "," ","0001300000"," "
"000041110","01","0028000000"," "," ","0014400000"," "," "
"000041112","01"," "," "," ","0014700000"," "," "
"000041113","01"," "," "," ","0014700000"," "," "
"000041114","01"," "," "," "," "," ","0002400000"
"000041115","01"," "," "," ","0003000000"," ","0000500000"
"000042091","01","0005500000"," "," "," "," "," "
"000042091","03","0013500000"," "," "," "," "," "
"000042093","01","0001500000"," "," ","0002400000"," "," "
"000042094","01","0001500000"," "," ","0012000000"," "," "
"000042095","01"," "," "," ","0003740000"," ","0001800000"
"000042095","02"," "," "," ","0002000000"," "," "
"000042096","01"," "," "," ","0002700000"," ","0001000000"
"000042099","01"," "," "," "," "," ","0001800000"
"000042105","01"," "," "," ","0016400000"," "," "
"000042106","01"," "," "," ","0003900000"," "," "
"000043094","01"," "," "," "," "," ","0006000000"
"000043095","01"," "," "," ","0003500000"," ","0003000000"
"000043099","01","0024600000"," "," "," "," "," "
"000043100","01"," "," "," ","0001800000"," "," "
"000043102","01"," "," "," ","0002600000"," ","0002000000"
"000043105","01"," "," "," ","0002600000"," "," "
"000043106","01","0020000000"," "," "," "," "," "
"000043107","01"," "," "," ","0002600000"," "," "
"000044086","01"," "," "," ","0002400000"," "," "
"000044087","01"," "," "," ","0003850000"," "," "
"000044088","01"," "," "," ","0006300000"," "," "
"000044090","01"," "," "," "," "," ","0002000000"
"000044091","01"," "," "," ","0005000000"," "," "
"000044095","01"," "," "," ","0032000000"," "," "
"000044096","01"," ","0014000000"," "," "," "," "
